paper_id,conference,year,citation,num_modules,num_files,num_root_files,total_lines,contain_docker,contain_data,num_lang,main_language,num_duplicates,has_shell,num_lists,code_blocks,code_elements,contain_project_page,contain_trained_model,dynamic_images,images,tables,has_video,github_links,framework,from_organization,has_license,stars
1086,CVPR,2016,169,5,6,1,581,0,1,1,python,5,0,1,2,1,1,0,0,21,0,1,1,caffe,organization,1,153
1087,CVPR,2016,192,2,713,0,124756,1,0,5,c/c++,116,1,0,0,0,0,0,0,0,0,0,3,caffe,personal,0,146
1088,CVPR,2016,89,12,314,10,75797,0,1,5,c/c++,5,1,5,1,16,0,1,0,0,0,0,0,matlab,personal,1,144
1089,CVPR,2016,192,2,149,0,21520,0,1,5,matlab,35,1,4,5,0,0,1,0,0,0,0,0,matlab,personal,0,126
1090,CVPR,2016,209,5,26,1,2531,0,1,2,matlab,29,1,4,7,2,0,0,0,0,0,1,0,matlab,personal,0,132
1091,CVPR,2016,68,2,7,2,493,0,1,3,python,0,1,5,1,4,0,0,0,1,0,0,0,tensorflow,personal,1,109
1092,CVPR,2016,160,9,20,2,841,0,1,2,python,4,1,5,1,20,1,1,0,1,0,0,0,caffe,personal,1,100
1093,CVPR,2016,156,3,19,1,1834,0,1,1,matlab,8,0,2,5,3,0,1,0,0,0,0,0,Unknown,personal,0,100
1094,CVPR,2016,150,10,37,3,5356,0,1,4,lua,0,1,5,0,0,1,1,0,0,0,0,3,torch,personal,1,88
1095,CVPR,2016,60,3,10,11,510,0,1,1,matlab,0,0,0,0,4,1,0,0,0,0,0,0,matlab,personal,0,81
1096,CVPR,2016,156,0,7,7,899,0,1,2,lua,0,0,0,1,0,0,0,0,0,0,0,0,matlab,personal,0,82
1097,CVPR,2016,294,7,20,3,2066,0,1,2,python,2,1,1,0,27,0,0,0,0,0,0,2,caffe,personal,1,339
1098,CVPR,2016,477,3,11,0,1991,0,1,1,python,13,0,1,3,0,0,0,0,0,0,0,0,Unknown,personal,0,78
1099,CVPR,2016,8,4,159,2,108386,0,0,4,c/c++,0,1,0,3,0,0,0,0,2,0,0,0,Unknown,personal,1,73
1100,CVPR,2016,102,10,59,2,5643,0,1,2,c/c++,0,1,17,0,10,0,0,0,7,0,0,1,caffe,personal,1,71
1101,CVPR,2016,96,6,53,0,15512,0,0,2,c/c++,0,0,0,0,0,0,0,0,0,0,0,0,matlab,personal,0,68
1102,CVPR,2016,101,2,18,6,25306,0,0,3,python,2,1,0,11,0,0,1,0,0,0,0,1,matlab,personal,1,71
1103,CVPR,2016,103,2,5,0,149,0,0,2,matlab,0,1,2,17,0,1,1,0,0,0,1,0,caffe,personal,1,71
1104,CVPR,2016,101,4,21,13,1164,0,1,2,shell,0,1,7,1,0,0,1,0,0,0,0,0,caffe,personal,0,56
1105,CVPR,2016,107,5,1068,2,168833,0,0,5,matlab,300,1,6,0,2,1,0,0,0,0,0,0,matlab,personal,0,50
1106,CVPR,2016,27,6,168,1,58100,0,1,1,c/c++,0,0,3,1,6,0,0,0,0,0,0,0,matlab,personal,0,52
1107,CVPR,2016,49,4,285,0,14184,0,0,5,matlab,85,1,2,5,9,0,1,0,0,0,0,5,matlab,personal,0,40
1108,CVPR,2016,36,2,319,2,76639,0,1,5,c/c++,1,1,3,0,8,1,1,0,0,0,1,0,caffe,personal,0,39
1109,CVPR,2016,67,3,10,0,2086,0,0,2,c/c++,0,0,3,1,7,0,0,0,0,0,0,1,caffe,personal,0,42
